court_id,std_court,province,district,level,city
云,云南省高级人民法院,云南,云南省,2,
云01,云南省昆明市中级人民法院,云南,昆明市,3,昆明市
云0102,昆明市五华区人民法院,云南,昆明市五华区,4,昆明市
云0103,昆明市盘龙区人民法院,云南,昆明市盘龙区,4,昆明市
云0111,昆明市官渡区人民法院,云南,昆明市官渡区,4,昆明市
云0112,昆明市西山区人民法院,云南,昆明市西山区,4,昆明市
云0113,昆明市东川区人民法院,云南,昆明市东川区,4,昆明市
云0114,昆明市呈贡区人民法院,云南,昆明市呈贡区,4,昆明市
云0115,昆明市晋宁区人民法院,云南,昆明市晋宁区,4,昆明市
云0122,昆明市晋宁区人民法院,云南,昆明市晋宁区,4,昆明市
云0124,富民县人民法院,云南,富民县,4,昆明市
云0125,宜良县人民法院,云南,宜良县,4,昆明市
云0126,石林彝族自治县人民法院,云南,石林彝族自治县,4,昆明市
云0127,嵩明县人民法院,云南,嵩明县,4,昆明市
云0128,禄劝彝族苗族自治县人民法院,云南,禄劝彝族苗族自治县,4,昆明市
云0129,寻甸回族彝族自治县人民法院,云南,寻甸回族彝族自治县,4,昆明市
云0181,安宁市人民法院,云南,安宁市,4,昆明市
云03,云南省曲靖市中级人民法院,云南,曲靖市,3,曲靖市
云0302,曲靖市麒麟区人民法院,云南,曲靖市麒麟区,4,曲靖市
云0303,曲靖市沾益区人民法院,云南,曲靖市沾益区,4,曲靖市
云0321,马龙县人民法院,云南,马龙县,4,曲靖市
云0322,陆良县人民法院,云南,陆良县,4,曲靖市
云0323,师宗县人民法院,云南,师宗县,4,曲靖市
云0324,罗平县人民法院,云南,罗平县,4,曲靖市
云0325,富源县人民法院,云南,富源县,4,曲靖市
云0326,会泽县人民法院,云南,会泽县,4,曲靖市
云0328,曲靖市沾益区人民法院,云南,曲靖市沾益区,4,曲靖市
云0381,宣威市人民法院,云南,宣威市,4,曲靖市
云04,云南省玉溪市中级人民法院,云南,玉溪市,3,玉溪市
云0402,玉溪市红塔区人民法院,云南,玉溪市红塔区,4,玉溪市
云0403,玉溪市江川区人民法院,云南,玉溪市江川区,4,玉溪市
云0421,玉溪市江川区人民法院,云南,玉溪市江川区,4,玉溪市
云0422,澄江县人民法院,云南,澄江县,4,玉溪市
云0423,通海县人民法院,云南,通海县,4,玉溪市
云0424,华宁县人民法院,云南,华宁县,4,玉溪市
云0425,易门县人民法院,云南,易门县,4,玉溪市
云0426,峨山彝族自治县人民法院,云南,峨山彝族自治县,4,玉溪市
云0427,新平彝族傣族自治县人民法院,云南,新平彝族傣族自治县,4,玉溪市
云0428,元江哈尼族彝族傣族自治县人民法院,云南,元江哈尼族彝族傣族自治县,4,玉溪市
云05,云南省保山市中级人民法院,云南,保山市,3,保山市
云0502,保山市隆阳区人民法院,云南,保山市隆阳区,4,保山市
云0521,施甸县人民法院,云南,施甸县,4,保山市
云0523,龙陵县人民法院,云南,龙陵县,4,保山市
云0524,昌宁县人民法院,云南,昌宁县,4,保山市
云0581,腾冲市人民法院,云南,腾冲市,4,保山市
云06,云南省昭通市中级人民法院,云南,昭通市,3,昭通市
云0602,昭通市昭阳区人民法院,云南,昭通市昭阳区,4,昭通市
云0621,鲁甸县人民法院,云南,鲁甸县,4,昭通市
云0622,巧家县人民法院,云南,巧家县,4,昭通市
